        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603100000,   0.662,   1.380,   0.300,   0.418,   1.380,   0.200,   1.280,   0.300,   1.380
202603100006,   0.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100012,   0.739,   1.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100018,   0.784,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100024,   0.833,   1.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100030,   0.885,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100036,   0.940,   1.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100042,   0.999,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100048,   1.060,   1.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100054,   1.124,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100100,   1.191,   1.869,   0.300,   0.378,   1.869,   0.200,   1.769,   0.300,   1.869
202603100106,   1.260,   1.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100112,   1.332,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100118,   1.405,   2.069,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100124,   1.481,   2.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100130,   1.558,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100136,   1.637,   2.191,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100142,   1.718,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100148,   1.800,   2.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100154,   1.884,   2.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100200,   1.970,   2.578,   0.300,   0.308,   2.578,   0.200,   2.478,   0.300,   2.578
202603100206,   2.056,   2.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100212,   2.144,   2.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100218,   2.234,   2.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100224,   2.324,   2.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100230,   2.415,   3.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100236,   2.507,   3.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100242,   2.600,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100248,   2.693,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100254,   2.786,   3.417,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100300,   2.879,   3.509,   0.300,   0.330,   3.509,   0.200,   3.409,   0.300,   3.509
202603100306,   2.972,   3.617,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100312,   3.065,   3.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100318,   3.157,   3.788,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100324,   3.247,   3.880,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100330,   3.337,   4.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100336,   3.425,   4.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100342,   3.511,   4.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100348,   3.595,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100354,   3.676,   4.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100400,   3.755,   4.447,   0.300,   0.392,   4.447,   0.200,   4.347,   0.300,   4.447
202603100406,   3.831,   4.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100412,   3.904,   4.608,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100418,   3.973,   4.677,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100424,   4.039,   4.719,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100430,   4.101,   4.778,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100436,   4.160,   4.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100442,   4.214,   4.900,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100448,   4.264,   4.979,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100454,   4.310,   5.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100500,   4.351,   5.057,   0.200,   0.506,   5.057,   0.200,   5.057,   0.300,   5.157
202603100506,   4.387,   5.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100512,   4.419,   5.087,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100518,   4.446,   5.159,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100524,   4.469,   5.159,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100530,   4.486,   5.149,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100536,   4.499,   5.218,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100542,   4.506,   5.169,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100548,   4.508,   5.139,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100554,   4.506,   5.208,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100600,   4.498,   5.139,   0.200,   0.441,   5.139,   0.200,   5.139,   0.300,   5.239
202603100606,   4.485,   5.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100612,   4.467,   5.087,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100618,   4.444,   5.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100624,   4.416,   4.969,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100630,   4.384,   4.998,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100636,   4.346,   4.887,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100642,   4.304,   4.808,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100648,   4.258,   4.778,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100654,   4.207,   4.710,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100700,   4.152,   4.657,   0.200,   0.305,   4.657,   0.200,   4.657,   0.200,   4.657
202603100706,   4.093,   4.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100712,   4.031,   4.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100718,   3.965,   4.447,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100724,   3.896,   4.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100730,   3.824,   4.319,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100736,   3.749,   4.227,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100742,   3.672,   4.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100748,   3.592,   4.119,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100754,   3.511,   4.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100800,   3.428,   3.880,   0.200,   0.252,   3.880,   0.200,   3.880,   0.200,   3.880
202603100806,   3.344,   3.808,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100812,   3.258,   3.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100818,   3.172,   3.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100824,   3.085,   3.627,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100830,   2.998,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100836,   2.910,   3.427,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100842,   2.822,   3.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100848,   2.733,   3.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100854,   2.645,   3.207,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100900,   2.557,   3.168,   0.200,   0.411,   3.168,   0.200,   3.168,   0.200,   3.168
202603100906,   2.470,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100912,   2.383,   2.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603100918,   2.296,   2.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
